,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
9238,A24256,"['Steelite 12185.001 Crochet Hook Set', 'Dritz 154 2-Piece Long Doll Needles, 5-Inch', 'Medical Pattern Paper: 21"" x 225\' Single Roll of Patternmaking, Drafting, and Tracing Paper by Diagnostics Direct', ""Dritz Quilter's Basting Hand Needles Size 7, 6 Count"", 'Dritz Dressmaker Pins, Size 17, 750-Pack', 'VALYRIA 500pcs Siver Tone Stainless Steel Open Jump Rings Connectors 0.8mm Fit Jewelry DIY (4x0.8mm)', 'Valyria 500pcs Stainless Steel Open Jump Rings Connectors 6mm(1/4"") Fit Jewelry DIY Silver Tone', 'Darice Gold Metal Ring, 14-Inch', 'Darice Gold Metal Ring, 14-Inch', ""MICHLEY LSS-202 Lil' Sew & Sew Mini 2-Speed Sewing Machine""]","Mandala Crafts Bonded Nylon Sewing Thread, 1500 Yard Size #69 T70 (Apple Green)","[8377, 8343, 7471, 10799, 4956, 15470, 219, 5500, 5500, 2136]",1936,"['<a_255><b_137><c_12>', '<a_255><b_188><c_29>', '<a_145><b_150><c_249>', '<a_255><b_218><c_253>', '<a_255><b_91><c_177>', '<a_158><b_41><c_8>', '<a_158><b_41><c_8>', '<a_0><b_152><c_94>', '<a_0><b_152><c_94>', '<a_175><b_167><c_240>']",<a_137><b_150><c_212>
9239,A24976,"['Cousin 4472 Craft and Jewelry Mini Hammer, 6-Inch', 'Cousin 4472 Craft and Jewelry Mini Hammer, 6-Inch', 'ImpressArt Bracelet Bending Bar Kit']",Beadaholique Solid Metal Bench Block Wire Hardening and Wire Wrapping Tool,"[10918, 10918, 16532]",46,"['<a_55><b_151><c_107>', '<a_55><b_151><c_107>', '<a_244><b_91><c_233>']",<a_238><b_211><c_168>
9240,A24976,"['Cousin 4472 Craft and Jewelry Mini Hammer, 6-Inch', 'Cousin 4472 Craft and Jewelry Mini Hammer, 6-Inch', 'ImpressArt Bracelet Bending Bar Kit', 'Beadaholique Solid Metal Bench Block Wire Hardening and Wire Wrapping Tool']",Beadaholique Solid Metal Bench Block Wire Hardening and Wire Wrapping Tool,"[10918, 10918, 16532, 46]",46,"['<a_55><b_151><c_107>', '<a_55><b_151><c_107>', '<a_244><b_91><c_233>', '<a_238><b_211><c_168>']",<a_238><b_211><c_168>
9241,A25065,"['Grafix Medium Weight Chipboard Sheets, 12-Inch by 12-Inch, Natural, 25-Pack', 'Grafix Medium Weight Chipboard Sheets, 12-Inch by 12-Inch, Natural, 25-Pack', 'Clover 499 Slash 28mm Rotary Cutter', 'Grafix 8-1/2-Inch by 11-Inch White Chipboard Sheets, Pack of 25', 'Warm Company Steam-A-Seam 2 Double Stick Fusible Web-9""X12"" Sheets 5/Pkg (5517)', 'Warm Company Steam-A-Seam 2 Double Stick Fusible Web-9""X12"" Sheets 5/Pkg (5517)']",OmniEdge 5-by-24-Inch Non-Slip Quilter's Ruler,"[2012, 2012, 8240, 2014, 746, 746]",4790,"['<a_159><b_73><c_12>', '<a_159><b_73><c_12>', '<a_212><b_178><c_9>', '<a_159><b_20><c_192>', '<a_166><b_39><c_240>', '<a_166><b_39><c_240>']",<a_212><b_49><c_213>
9242,A25065,"['Grafix Medium Weight Chipboard Sheets, 12-Inch by 12-Inch, Natural, 25-Pack', 'Grafix Medium Weight Chipboard Sheets, 12-Inch by 12-Inch, Natural, 25-Pack', 'Clover 499 Slash 28mm Rotary Cutter', 'Grafix 8-1/2-Inch by 11-Inch White Chipboard Sheets, Pack of 25', 'Warm Company Steam-A-Seam 2 Double Stick Fusible Web-9""X12"" Sheets 5/Pkg (5517)', 'Warm Company Steam-A-Seam 2 Double Stick Fusible Web-9""X12"" Sheets 5/Pkg (5517)', ""OmniEdge 5-by-24-Inch Non-Slip Quilter's Ruler""]",OmniEdge 5-by-24-Inch Non-Slip Quilter's Ruler,"[2012, 2012, 8240, 2014, 746, 746, 4790]",4790,"['<a_159><b_73><c_12>', '<a_159><b_73><c_12>', '<a_212><b_178><c_9>', '<a_159><b_20><c_192>', '<a_166><b_39><c_240>', '<a_166><b_39><c_240>', '<a_212><b_49><c_213>']",<a_212><b_49><c_213>
9243,A25065,"['Grafix Medium Weight Chipboard Sheets, 12-Inch by 12-Inch, Natural, 25-Pack', 'Grafix Medium Weight Chipboard Sheets, 12-Inch by 12-Inch, Natural, 25-Pack', 'Clover 499 Slash 28mm Rotary Cutter', 'Grafix 8-1/2-Inch by 11-Inch White Chipboard Sheets, Pack of 25', 'Warm Company Steam-A-Seam 2 Double Stick Fusible Web-9""X12"" Sheets 5/Pkg (5517)', 'Warm Company Steam-A-Seam 2 Double Stick Fusible Web-9""X12"" Sheets 5/Pkg (5517)', ""OmniEdge 5-by-24-Inch Non-Slip Quilter's Ruler"", ""OmniEdge 5-by-24-Inch Non-Slip Quilter's Ruler""]","Crafters Workshop TrueCut Non-Slip Ruler Grips, 30/Pkg","[2012, 2012, 8240, 2014, 746, 746, 4790, 4790]",91,"['<a_159><b_73><c_12>', '<a_159><b_73><c_12>', '<a_212><b_178><c_9>', '<a_159><b_20><c_192>', '<a_166><b_39><c_240>', '<a_166><b_39><c_240>', '<a_212><b_49><c_213>', '<a_212><b_49><c_213>']",<a_50><b_56><c_250>
9244,A25356,"['Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Chroma Molten Metals Acrylic Paint Set, 8 oz Bottle, Assorted Color, Set of 6', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Reeves 24-Pack Water Color Paint Set, 10ml (8494252)', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Turner Colour Works Acryl Gouache Artist Acrylic Paint - Single 100 ml Tube - White', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow']","Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Burnt Umber","[13240, 4081, 13240, 1252, 13240, 13240, 14042, 13240, 13240, 13240]",2307,"['<a_184><b_39><c_109>', '<a_61><b_188><c_196>', '<a_184><b_39><c_109>', '<a_205><b_70><c_219>', '<a_184><b_39><c_109>', '<a_184><b_39><c_109>', '<a_184><b_10><c_151>', '<a_184><b_39><c_109>', '<a_184><b_39><c_109>', '<a_184><b_39><c_109>']",<a_184><b_39><c_109>
9245,A25356,"['Chroma Molten Metals Acrylic Paint Set, 8 oz Bottle, Assorted Color, Set of 6', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Reeves 24-Pack Water Color Paint Set, 10ml (8494252)', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Turner Colour Works Acryl Gouache Artist Acrylic Paint - Single 100 ml Tube - White', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Burnt Umber']","Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Burnt Umber","[4081, 13240, 1252, 13240, 13240, 14042, 13240, 13240, 13240, 2307]",2307,"['<a_61><b_188><c_196>', '<a_184><b_39><c_109>', '<a_205><b_70><c_219>', '<a_184><b_39><c_109>', '<a_184><b_39><c_109>', '<a_184><b_10><c_151>', '<a_184><b_39><c_109>', '<a_184><b_39><c_109>', '<a_184><b_39><c_109>', '<a_184><b_39><c_109>']",<a_184><b_39><c_109>
9246,A25356,"['Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Reeves 24-Pack Water Color Paint Set, 10ml (8494252)', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Turner Colour Works Acryl Gouache Artist Acrylic Paint - Single 100 ml Tube - White', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Iridescent Green Yellow', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Burnt Umber', 'Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Burnt Umber']","Pebeo Studio Acrylics High Viscosity, Fine Acrylic, 100 ml - Burnt Umber","[13240, 1252, 13240, 13240, 14042, 13240, 13240, 13240, 2307, 2307]",2307,"['<a_184><b_39><c_109>', '<a_205><b_70><c_219>', '<a_184><b_39><c_109>', '<a_184><b_39><c_109>', '<a_184><b_10><c_151>', '<a_184><b_39><c_109>', '<a_184><b_39><c_109>', '<a_184><b_39><c_109>', '<a_184><b_39><c_109>', '<a_184><b_39><c_109>']",<a_184><b_39><c_109>
9247,A25449,"['Plaid Patricia Nimocks Clear Acrylic Sealers (12-Ounce), CS200306 Matte', 'Plaid Patricia Nimocks Clear Acrylic Sealers (12-Ounce), CS200306 Matte']",Cheery Lynn Designs B671 Humming Bird Die Cuts,"[6301, 6301]",13341,"['<a_215><b_209><c_171>', '<a_215><b_209><c_171>']",<a_9><b_103><c_156>
