,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
18477,A36918,"['Mosaic Mercantile Sparkle Assorted Mosaic Tile, 1/2-Pound', 'Krylon K03802A00 Glitter Blast, Silver Flash, 5.75 Ounce', 'Silhouette KIT Tool, White', 'Adtech 0449M Precision Pro Hot Glue Gun', 'Darice 97803 11-Piece Clay Cleaning Tool Set, Gray', 'E6000 230010 Craft Adhesive, 3.7 Fluid Ounces', 'Beadaholique Perfect Positioner/Jewel Setter Tool for Swarovski Elements Flatbacks Rhinestones', 'H-195F Specialty Series 20 Watt Mini Size High Temperature Detail Hot Glue Gun']","Polyform Sculpey Style and Detail Tools, 3/Pack","[5988, 8694, 15957, 7935, 4690, 1117, 6480, 4507]",2435,"['<a_90><b_189><c_186>', '<a_142><b_39><c_26>', '<a_172><b_234><c_202>', '<a_191><b_39><c_107>', '<a_197><b_195><c_190>', '<a_77><b_214><c_213>', '<a_178><b_135><c_69>', '<a_39><b_159><c_9>']",<a_204><b_91><c_147>
18478,A37437,"['Clover 336 Knitting Counter Kacha-Kacha', 'Accmart 4 Sizes Pom-pom Maker for Fluff Ball DIY Wool Knitting Craft Tool Set', 'Authentic Knitting Board Afghan Loom', 'Darice 1999-084 3-Dimensional Velvet Jewelry Stand, 9-Inch, Black', 'Darice 1999-084BUR Burlap Bust Jewelry Stand, 9-Inch']","Miles Kimball Knitting Tote Bag by MSR Imports, , 18 x 11 x 1 inches","[9645, 7114, 4029, 2674, 2675]",112,"['<a_34><b_35><c_200>', '<a_50><b_208><c_166>', '<a_154><b_199><c_7>', '<a_197><b_65><c_5>', '<a_168><b_159><c_61>']",<a_15><b_214><c_126>
18479,A39750,"['MyLifeUNIT Artist Brush Basin, Multifunction Paint Brush Tub with Brush Holder']",General Pencil 105-BP The Masters Brush Cleaner & Preserver 2.5 Ounces Carded-,[60],2384,['<a_237><b_237><c_114>'],<a_201><b_131><c_89>
18480,A39750,"['MyLifeUNIT Artist Brush Basin, Multifunction Paint Brush Tub with Brush Holder', 'General Pencil 105-BP The Masters Brush Cleaner & Preserver 2.5 Ounces Carded-']","Jacquard Products Pinata Color Alcohol Inks, 1/2-Ounce, Sunbright Yellow","[60, 2384]",8733,"['<a_237><b_237><c_114>', '<a_201><b_131><c_89>']",<a_12><b_101><c_114>
18481,A39750,"['MyLifeUNIT Artist Brush Basin, Multifunction Paint Brush Tub with Brush Holder', 'General Pencil 105-BP The Masters Brush Cleaner & Preserver 2.5 Ounces Carded-', 'Jacquard Products Pinata Color Alcohol Inks, 1/2-Ounce, Sunbright Yellow']",Faber Castell Pitt White 101 Artist Pen,"[60, 2384, 8733]",12412,"['<a_237><b_237><c_114>', '<a_201><b_131><c_89>', '<a_12><b_101><c_114>']",<a_213><b_152><c_29>
18482,A39750,"['MyLifeUNIT Artist Brush Basin, Multifunction Paint Brush Tub with Brush Holder', 'General Pencil 105-BP The Masters Brush Cleaner & Preserver 2.5 Ounces Carded-', 'Jacquard Products Pinata Color Alcohol Inks, 1/2-Ounce, Sunbright Yellow', 'Faber Castell Pitt White 101 Artist Pen']",Faber Castell Stamper's Big Brush Pen Gift Set - 15 Big Brush Pitt Artist Pens,"[60, 2384, 8733, 12412]",6054,"['<a_237><b_237><c_114>', '<a_201><b_131><c_89>', '<a_12><b_101><c_114>', '<a_213><b_152><c_29>']",<a_76><b_135><c_141>
18483,A40135,"['Singer 73909 Lightweight Elastic Blister Card, 3/8-Inch by 5-Yard, Clear', 'Connecting Threads 100% Cotton Thread Sets - 1200 Yard Spools (Over The Rainbow)', 'Surebonder 6500N Glue Gun Stand with Non-Stick Glue Pad-Black', 'Mod Podge Hot Glue Gun Finger Caps, Original Version', '40 Large Spools Embroidery Machine Thread for Brother With Thread Locking Spool', 'Mazbot 6 Inch Bent Handle Curved Embroidery Scissors---Perfect for Machine Embroidery', 'The Thread Director Spool Pin Adapter TD0001', 'Fusible Mesh Stabilizer 1.5 oz 12 inch x 25 Yard Roll. SuperStable Fuse Embroidery Stabilizer Backing', '20 Metallic Embroidery Threads 1100 yards for Computerized Machines For Brother Babylock Janome Singer Pfaff Husqvaran Bernina Machine', 'Huge Spool BLACK Embroidery Machine Bobbin Thread']",Decorative Plate Display Hanger Expandable Holds 8 to 10 Inch Plates-white Coated Wire -Pack of 6 Hangers,"[15610, 2163, 5579, 5976, 1284, 8477, 8104, 11761, 1285, 4520]",11587,"['<a_77><b_150><c_238>', '<a_72><b_199><c_140>', '<a_159><b_167><c_61>', '<a_77><b_31><c_219>', '<a_67><b_239><c_180>', '<a_224><b_217><c_190>', '<a_50><b_159><c_64>', '<a_158><b_208><c_89>', '<a_67><b_58><c_140>', '<a_67><b_101><c_134>']",<a_180><b_88><c_12>
18484,A40666,"['100 Flattened Chrome Bottle Caps Silver Bottlecaps Flat', 'Beadaholique 100-Piece Epoxy Stickers for Bottle Cap Pendants, 1-Inch, Clear', 'FolkArt 34150 Home Decor Chalk Finish Paint Ultra Matte Adirondack 8OZ, 8 Ounce, Multicolor', 'Sizzix Originals Die 4.75""X2.75"", Elephant #2', 'Sizzix Framelits Die Set 5/PK - Banners, Pennant Plain by Stephanie Barnard', 'Bazzill Cardstock 8.5""X11""-French Vanilla/Grass Cloth 25 per pack', 'Bulk Buy: Bazzill Cardstock 8.5""X11"" African Daisy/Grass Cloth BAZL-E8-337 (25-Pack)', '1-lb Pure White BEESWAX Pellets-100% Pure', 'FolkArt Home Decor Wax (8-Ounce), 34170 Clear', 'SAS Be Dazzler Rhinestone Refill 150/Pkg, Clear']",Sakura 50201 6-Piece Pigma Manga Comic Pro Drawing Kit,"[9507, 101, 6509, 12064, 17094, 11262, 6887, 5270, 7741, 2311]",2422,"['<a_89><b_205><c_82>', '<a_85><b_188><c_34>', '<a_39><b_125><c_30>', '<a_252><b_252><c_114>', '<a_239><b_103><c_27>', '<a_71><b_32><c_144>', '<a_71><b_190><c_166>', '<a_241><b_11><c_93>', '<a_39><b_125><c_30>', '<a_186><b_214><c_120>']",<a_217><b_24><c_255>
18485,A40666,"['Beadaholique 100-Piece Epoxy Stickers for Bottle Cap Pendants, 1-Inch, Clear', 'FolkArt 34150 Home Decor Chalk Finish Paint Ultra Matte Adirondack 8OZ, 8 Ounce, Multicolor', 'Sizzix Originals Die 4.75""X2.75"", Elephant #2', 'Sizzix Framelits Die Set 5/PK - Banners, Pennant Plain by Stephanie Barnard', 'Bazzill Cardstock 8.5""X11""-French Vanilla/Grass Cloth 25 per pack', 'Bulk Buy: Bazzill Cardstock 8.5""X11"" African Daisy/Grass Cloth BAZL-E8-337 (25-Pack)', '1-lb Pure White BEESWAX Pellets-100% Pure', 'FolkArt Home Decor Wax (8-Ounce), 34170 Clear', 'SAS Be Dazzler Rhinestone Refill 150/Pkg, Clear', 'Sakura 50201 6-Piece Pigma Manga Comic Pro Drawing Kit']",General Pencil 957ABP Compressed Charcoal Sticks 4/Pkg-Black - Soft Assorted,"[101, 6509, 12064, 17094, 11262, 6887, 5270, 7741, 2311, 2422]",4034,"['<a_85><b_188><c_34>', '<a_39><b_125><c_30>', '<a_252><b_252><c_114>', '<a_239><b_103><c_27>', '<a_71><b_32><c_144>', '<a_71><b_190><c_166>', '<a_241><b_11><c_93>', '<a_39><b_125><c_30>', '<a_186><b_214><c_120>', '<a_217><b_24><c_255>']",<a_75><b_193><c_222>
18486,A40969,"['Ranger 3pc Dylusions 1 oz. Mica Sprays', 'Decoupage Paper Pack (12 sheets A4 / 8""x11"") Christmas Eve Santa Lady FLONZ Vintage Ephemera', '3 Yds Lace Trim Flower Tassel Venise Lace Fringe DIY Applique Sewing Craft', 'CRAFTERS WORKSHOP TCW6X6-248 Framing Template, 6 by 6-Inch, Mini Cubist', 'Prima Marketing Prima Designer Stencil, 6 by 6-Inch, Crackle', 'Crowded Attic Salvage Stickers by Tim Holtz Idea-ology, 372 Stickers, Paper, Multicolored, TH92898', 'CRAFTERS WORKSHOP TCW-252 Template, 12 by 12-Inch, Aspen Trees', 'DecoArt ADS-06 Americana Decor Stencil, Vintage Keys']",Stencil 6in x 6in Cherry Blossom,"[7320, 9391, 6872, 1823, 7101, 5901, 11984, 1332]",1603,"['<a_61><b_199><c_19>', '<a_219><b_188><c_124>', '<a_207><b_189><c_155>', '<a_25><b_58><c_9>', '<a_106><b_106><c_25>', '<a_90><b_82><c_192>', '<a_25><b_58><c_114>', '<a_106><b_153><c_155>']",<a_69><b_188><c_67>
